order_of_join,current_discord_username,main_discord_id,current_message_total_including_alts,accounts_that_make_up_message_total,alt_account_discord_ids
1,kryzp,246992424260468756,96069,1,null
2,akaaaaaaaaa,464090695326498817,77572,7,"271341180321660938, 764927328358105119, 808726963212648528, 771787915881742346, 1104489637541593179, 1119363226170302585"
3,tuuti,99897149520617472,10660,1,
4,testname_,532597308341092352,8109,1,
5,bladeaxe,603868377639026699,80469,5,"500907320541184001, 1029121309109649534, 1092431379180032050, 1155157592012755134"
6,adstism,501794931858210834,11311,2,975802667035131000
7,ukastronaut,614872849940873218,49585,1,
8,izooc,381766784505741312,13582,3,"808321541057937480, 944243682171822152"
9,nyalloveseatingbeansfromthecan,992186953548189757,2368,1,
10,bigsam2900,864937196158844979,75,1,
11,mythicalcrock,478879019224268801,51,1,
12,akh5l,295188345196380161,1188,1,
13,rexpsychic,710501531824160889,270,1,
14,stantheman101_,710142992505241610,163,1,
15,lukier840,498864827066875904,1163,1,
16,tonyniven_90187,1442491812735488073,54,1,
17,stooca,622787022024605747,43,1,
